"TypeID","StationID","Type","High","Low","Average"
608,60008494,"Buy",375800,16340,283170.981644054
608,60008494,"Sell",698200,485300,522861.546085233
608,60011866,"Buy",330100,36620,270101.730103806
608,60011866,"Sell",540000,445000,465682.189239332
608,1032717532381,"Buy",5006,5006,5006
608,1033050967689,"Buy",3000,3000,3000
621,60001096,"Buy",5262000,5251000,5256500
621,60003760,"Buy",10180000,0.02,1578.78405494136
621,60003760,"Sell",20000000,10980000,12138669.4386694
621,60004588,"Buy",10010000,0.02,230.225093247203
621,60004588,"Sell",50720000,12800000,13721857.1428571
621,60005686,"Buy",8079000,2428000,5525925.92592593
621,60005686,"Sell",16990000,12500000,16350422.5352113
621,60006526,"Sell",15000000,12000000,14504854.368932
621,60008494,"Buy",8321000,0.02,286.526538938442
621,60008494,"Sell",15440000,9900000,12308105.2631579
621,60011866,"Buy",8844000,8901,2947485.02040816
621,60011866,"Sell",889900000,11740000,26830759.4936709
621,60015131,"Buy",2428000,1003000,1441461.53846154
622,60003760,"Buy",11050000,0.02,2187.06623464004
622,60003760,"Sell",20000000,12460000,12762768.5950413
622,60004588,"Buy",10080000,0.02,120.918548977412
622,60004588,"Sell",12900000,11980000,12564390.2439024
622,60005686,"Buy",8502000,7051000,7798846.15384615
622,60005686,"Sell",29500000,15000000,16627045.4545455
622,60008494,"Buy",11100000,0.02,448.334376618676
622,60008494,"Sell",17020000,14960000,15599310.3448276
622,60011866,"Buy",5002000,11860,110674.653465347
622,60011866,"Sell",18450000,15090000,17618301.8867925
622,60015131,"Buy",1260000,1014000,1231058.82352941
623,60001096,"Buy",5010000,5000000,5005000
623,60003760,"Buy",9701000,0.02,45.2588739498151
623,60003760,"Sell",29000000,11610000,14822607.1428571
623,60004588,"Buy",5800000,0.02,120.61674334793
623,60004588,"Sell",13350000,12170000,12533421.0526316
623,60005686,"Buy",8017000,1540000,2349142.85714286
623,60005686,"Sell",29750000,14000000,21867500
623,60008494,"Buy",8196000,0.02,526.145748234868
623,60008494,"Sell",16260000,11980000,13906666.6666667
623,60008692,"Sell",19000000,19000000,19000000
623,60011866,"Buy",11050000,4400000,7771612.90322581
623,60011866,"Sell",21930000,16200000,16898656.7164179
623,60015131,"Buy",1003000,1003000,1003000
624,60001096,"Buy",6043000,6043000,6043000
624,60003760,"Buy",11560000,0.02,2465.85202972762
624,60003760,"Sell",29490000,12590000,18505645.1612903
624,60004588,"Buy",6100000,0.02,115.917797561846
624,60004588,"Sell",13070000,12690000,12813333.3333333
624,60005686,"Buy",8000000,8000000,8000000
624,60005686,"Sell",28010000,14400000,21578148.1481481
624,60008494,"Buy",9632000,0.02,922.983547612334
624,60008494,"Sell",14000000,12640000,13293779.5275591
624,60011866,"Buy",7750000,7160000,7635357.14285714
624,60011866,"Sell",18000000,13000000,15219775.2808989
624,60015131,"Buy",1003000,1003000,1003000
626,60001096,"Buy",4001000,4001000,4001000
626,60001096,"Sell",12500000,12500000,12500000
626,60003760,"Buy",11630000,0.02,2343.53521933547
626,60003760,"Sell",126000000,13960000,23700216.3833076
626,60004588,"Buy",7308000,0.02,97.9346457771525
626,60004588,"Sell",14000000,13220000,13431224.4897959
